Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Adjusted savings: education expenditure (current US$) [NY.ADJ.AEDU.CD],"Compulsory education, duration (years) [SE.COM.DURS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Imports of goods and services (current LCU) [NE.IMP.GNFS.CN],Exports of goods and services (current LCU) [NE.EXP.GNFS.CN],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
Poland,POL,1990,YR1990,65977749036.9844,1731.20953112388,..,6181.89177676648,6.98370529558457,14.4,2.06,75.5,66.5,9.18952542091632,-0.736866345436129,2705.60874347842,97.8068071331351,2.5014848391889,3346360640.35165,..,2.61248574350627,..,..,..,..
Poland,POL,1991,YR1991,85500935934.9901,2235.54108862522,-7.0155787962355,5921.53701432421,12.3450608772187,14.3,2.07,75.3,66.1,9.19385623557356,1.16084731268664,2641.02944834274,98.0506591262933,2.06466857069044,3221666584.149,..,2.25165022520211,..,..,..,55.2559948028594
Poland,POL,1992,YR1992,94337050693.2727,2459.02068468253,2.5149786115193,6189.79407055105,18.0359564324483,13.4,1.95,75.7,66.7,8.95039569601102,0.90924496839771,2569.17533456851,98.0460332436962,2.30274868091028,3787200761.484,..,2.23099944320713,..,..,..,38.6254669501791
Poland,POL,1993,YR1993,96045645026.178,2497.19524116689,3.73831030820932,6556.68453510442,24.7027974182192,12.9,1.87,76,67.4,8.94455033991475,3.56470663172184,2624.64884280888,95.5867687512215,6.13110222272913,3789983632.626,..,2.46918731544486,..,..,..,30.6427963798211
Poland,POL,1994,YR1994,110803391516.698,2874.8253108452,5.29280205841998,7036.272735647,32.8525656447117,12.5,1.81,76.1,67.5,8.81490977839304,-1.26777071727799,2496.17270757601,95.3384770732121,6.19514078237621,5570356792.14,..,2.27323210335054,..,..,..,37.2340348200864
Poland,POL,1995,YR1995,142292783505.155,3686.81929987805,7.102865538103,7681.1968907662,42.0353139210796,11.2,1.62,76.4,67.6,8.80943172998739,0.11905638728314,2577.52968402797,95.4555164607214,6.33252876185735,6306390000,..,1.95550705469987,..,71706000000,79161000000,27.9376478304586
Poland,POL,1996,YR1996,160193242090.427,4147.46550145483,6.11538550628521,8275.80159541634,50.3561904063371,11.1,1.59,76.6,68.1,9.1993733490022,4.39948493996952,2680.10207027325,95.897046303025,5.86500109031183,10167552000,..,1.96791940080864,..,101423000000,95316000000,17.9525171350115
Poland,POL,1997,YR1997,159357789772.207,4123.13561806773,6.44906315449649,8936.62578219735,57.8658889540854,10.7,1.51,77,68.5,8.91676666754636,2.0958873163044,2643.12353588621,95.8972109921562,5.98236950808594,9890221202.355,..,2.03130669657497,..,142207000000,121936000000,13.6664811966449
Poland,POL,1998,YR1998,174685791563.561,4518.10822630174,4.64063115519315,9487.7542777577,64.5770910957899,10.2,1.44,77.3,68.9,8.23541987851534,8.27200845004498,2459.83453998878,96.108652339754,6.53680579525848,7841774775.27249,..,2.01908131442398,..,186930000000,157535000000,11.0216255297128
Poland,POL,1999,YR1999,170031005016.259,4398.08104335996,4.65482547111917,10040.8983752326,69.1969832771014,9.9,1.37,77.5,68.8,7.9921840175409,9.79079919764522,2396.69212354978,96.3184286367341,6.41004229865283,7220702400,..,1.90113577122386,..,202492000000,162507000000,6.16457686364144
